seed,baseline,arrivals,admissions,rejected_admissions,admission_rate,departures,active_services,service_slots,sla_violations,sla_violation_rate,availability,avg_end_to_end_delay,avg_cpu_utilization,avg_bandwidth_utilization,avg_cpu_capacity_degradation,avg_bandwidth_capacity_degradation,prediction_runtime_seconds,selector_candidate_count,selector_selected_count,selector_pending_count,avg_active_pending_plans,max_active_pending_plans,runtime_seconds,avg_step_runtime_seconds,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,avg_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,reconfig_sla_violations
3,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08797474514552,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,1.0698378118686378,227,227,0,0.0,0,1.6079880653414875,0.016079880653414876,1.0,1.0,0.5056724846363068,1.0,1.0,1.0,0.5002431670824686,0.014402558406194088,1.0,2.0,1.0,0.6,0.4,0.0
3,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08028853189424,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,1.072192898252979,226,46,0,0.0,0,1.6063687955029309,0.01606368795502931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,static,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.84493517356128,0.09005986971597624,0.06789905522694434,0.7331691325714789,0.6282531488883186,0.0,0,0,0,0.0,0,0.38136840937659144,0.0038136840937659146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,reactive_full,44,28,16,0.6363636363636364,28,0,474,194,0.4092827004219409,1.0,78.14437521434976,0.09005986971597624,0.06882721374899405,0.7331691325714789,0.6282531488883186,0.0,0,0,0,0.0,0,1.0297838326077908,0.010297838326077908,174.0,174.0,0.0,1.0,0.9991288086115672,1.0,0.0,0.0,174.0,1467.0,1399.0,0.5999999999999984,0.3991288086115668,174.0
4,proactive_heuristic,44,28,16,0.6363636363636364,28,0,474,258,0.5443037974683544,0.9514767932489452,80.72995446738429,0.09005986971597624,0.07192936628955969,0.7331691325714789,0.6282531488883186,0.3099996105302125,0,0,0,0.0,0,1.2418542618397623,0.012418542618397622,202.0,178.0,0.6224294545824176,1.0,0.8811881188118812,0.8811881188118812,0.6033638839841906,0.019065570598226673,178.0,1377.0,1261.0,0.5287128712871272,0.3524752475247521,142.0
4,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.69783740444429,0.09005986971597624,0.06761514783404216,0.7331691325714789,0.6282531488883186,1.0694052486214787,206,206,0,0.0,0,1.6069957071449608,0.016069957071449606,3.0,3.0,0.5144945234060287,1.0,1.0,1.0,0.4721779541836844,0.05113845566908517,3.0,6.0,3.0,0.6,0.4000000000000001,0.0
4,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.84493517356128,0.09005986971597624,0.06789905522694434,0.7331691325714789,0.6282531488883186,1.065228994237259,212,46,0,0.0,0,1.516064581926912,0.01516064581926912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,static,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.4291746718536,0.09345797632983968,0.07566818250335623,0.7338501585851263,0.6286157539220847,0.0,0,0,0,0.0,0,0.3829241949133575,0.003829241949133575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,reactive_full,44,28,16,0.6363636363636364,28,0,503,219,0.43538767395626243,1.0,77.71641269456572,0.09345797632983968,0.0676234236734369,0.7338501585851263,0.6286157539220847,0.0,0,0,0,0.0,0,1.0624758368358016,0.010624758368358016,180.0,180.0,0.0,1.0,0.9995555555555556,1.0,0.0,0.0,180.0,1466.0,1359.0,0.5999999999999983,0.39955555555555533,180.0
5,proactive_heuristic,44,27,17,0.6136363636363636,27,0,482,333,0.6908713692946058,0.8755186721991701,88.29784626552681,0.08791394776151257,0.07192073495594149,0.7338501585851263,0.6286157539220847,0.3094549241941422,0,0,0,0.0,0,1.3228062724228948,0.013228062724228948,224.0,198.0,0.6256426395403322,1.0,0.8839285714285714,0.8839285714285714,0.6055281668459013,0.020114472694431017,198.0,1554.0,1433.0,0.530357142857141,0.35357142857142876,170.0
5,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.30755108010743,0.09345797632983968,0.0754118561279804,0.7338501585851263,0.6286157539220847,1.0734923933632672,225,225,0,0.0,0,1.6176588458474725,0.016176588458474726,1.0,1.0,0.5075480490922928,1.0,1.0,1.0,0.4798364887634913,0.0371835629145304,1.0,2.0,1.0,0.6,0.4,0.0
5,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.30755108010743,0.09345797632983968,0.0754118561279804,0.7338501585851263,0.6286157539220847,1.0717095197178423,225,48,0,0.0,0,1.6153257510159165,0.016153257510159166,1.0,1.0,0.5075480490922928,1.0,1.0,1.0,0.4798364887634913,0.0371835629145304,1.0,2.0,1.0,0.6,0.4,0.0
6,static,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,87.02053212914582,0.09479992305334642,0.06792364177812013,0.7334322425993802,0.6285315777016222,0.0,0,0,0,0.0,0,0.3835877904202789,0.003835877904202789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,reactive_full,44,28,16,0.6363636363636364,28,0,451,190,0.4212860310421286,0.9844789356984479,84.03491349647787,0.09479992305334642,0.06669514146350357,0.7334322425993802,0.6285315777016222,0.0,0,0,0,0.0,0,0.9868601732887328,0.009868601732887328,149.0,149.0,0.0,1.0,0.9997017151379567,1.0,0.0,0.0,149.0,1298.0,1226.0,0.5999999999999991,0.3997017151379558,149.0
6,proactive_heuristic,44,28,16,0.6363636363636364,28,0,451,279,0.6186252771618626,0.9135254988913526,91.79897403729014,0.09479992305334642,0.07394096076918105,0.7334322425993802,0.6285315777016222,0.3102865556720644,0,0,0,0.0,0,1.2744797128252685,0.012744797128252685,202.0,178.0,0.6229155482533156,1.0,0.8811881188118812,0.8811881188118812,0.6037311402512043,0.01918440800211105,178.0,1424.0,1336.0,0.5287128712871272,0.3524752475247521,151.0
6,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,86.92438584310995,0.09479992305334642,0.06786600820446415,0.7334322425993802,0.6285315777016222,1.0676831358578056,205,205,0,0.0,0,1.6034895826596767,0.016034895826596767,3.0,3.0,0.5076895207166672,1.0,1.0,1.0,0.48031444516446853,0.036941584613588076,3.0,6.0,3.0,0.6,0.4000000000000001,0.0
6,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,87.02053212914582,0.09479992305334642,0.06792364177812013,0.7334322425993802,0.6285315777016222,1.0645985857117921,210,39,0,0.0,0,1.5145653409417719,0.015145653409417719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,static,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.71292958600198,0.0861473900721991,0.05999749265668928,0.7333168249461752,0.6283953800927532,0.0,0,0,0,0.0,0,0.4631134271621704,0.004631134271621704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,reactive_full,44,28,16,0.6363636363636364,28,0,434,228,0.5253456221198156,1.0,78.95444650151173,0.0861473900721991,0.059734182206308765,0.7333168249461752,0.6283953800927532,0.0,0,0,0,0.0,0,1.0787072905804962,0.010787072905804962,201.0,201.0,0.0,1.0,1.0,1.0,0.0,0.0,201.0,1583.0,1470.0,0.5999999999999979,0.4000000000000003,201.0
7,proactive_heuristic,44,28,16,0.6363636363636364,28,0,434,307,0.7073732718894009,0.9262672811059908,83.98738591848831,0.0861473900721991,0.061775470594790424,0.7333168249461752,0.6283953800927532,0.3090599086135626,0,0,0,0.0,0,1.1813162814360112,0.011813162814360113,177.0,156.0,0.6328604897478668,1.0,0.8813559322033898,0.8813559322033898,0.6138579897110148,0.019002500036852464,156.0,1210.0,1125.0,0.5288135593220329,0.35254237288135504,127.0
7,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.89321027470996,0.0861473900721991,0.060240263214869,0.7333168249461752,0.6283953800927532,1.0724066798575222,198,198,0,0.0,0,1.5988664932083338,0.015988664932083337,1.0,1.0,0.5024002492427826,0.4,0.4,1.0,0.49313690265019733,0.018664290507634462,1.0,1.0,1.0,0.19999999999999998,0.2,0.0
7,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.71292958600198,0.0861473900721991,0.05999749265668928,0.7333168249461752,0.6283953800927532,1.0687086801044643,198,41,0,0.0,0,1.5204416576307267,0.015204416576307268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,static,44,28,16,0.6363636363636364,28,0,407,179,0.4398034398034398,1.0,78.21408094043063,0.06723433322287269,0.05542063971408643,0.7325683986292839,0.628461369193987,0.0,0,0,0,0.0,0,0.45828359364531934,0.004582835936453193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,reactive_full,44,28,16,0.6363636363636364,28,0,407,113,0.27764127764127766,1.0,74.31914009599213,0.06723433322287269,0.053821543449874484,0.7325683986292839,0.628461369193987,0.0,0,0,0,0.0,0,0.7849599805194885,0.007849599805194885,113.0,113.0,0.0,1.0,0.9989886219974715,1.0,0.0,0.0,113.0,975.0,873.0,0.6000000000000006,0.39898862199747076,113.0
